Length (ft),Height (ft),Speed (mph),Inversions,Type_Label_Encoded,Design_Label_Encoded,Status_Label_Encoded,Make_Label_Encoded,Opened_Year,Opened_Month,Opened_Day
600.0,45.333333333333336,10.0,0.0,1,4,3,256,1909,1,1
487.66666666666663,45.2,40.0,0.0,0,4,1,169,2005,5,20
326.26666666666665,45.2,40.0,0.0,0,4,1,169,2005,5,1
502.26666666666665,45.2,40.0,0.0,0,4,1,169,2006,5,27
679.1,27.9,21.7,0.0,0,4,1,227,1996,1,1
679.1,32.93333333333334,23.466666666666665,0.0,0,4,1,233,1998,1,1
586.5333333333333,58.86666666666667,33.36666666666667,0.0,0,4,1,256,2017,7,13
885.8,82.0,37.3,2.0,0,4,1,227,1990,1,1
415.6,20.0,17.799999999999997,0.0,0,4,1,210,2006,1,1
921.9,36.1,28.6,0.0,0,4,4,254,2019,4,13
498.70000000000005,68.8,41.1,0.0,0,4,4,170,2017,7,1
837.0,118.1,55.9,0.0,1,4,1,104,2003,4,12
406.8,17.099999999999994,16.8,0.0,0,4,1,194,2009,12,23
412.29999999999995,20.0,21.7,0.0,0,4,1,210,1990,1,1
360.6333333333333,23.799999999999997,24.200000000000003,0.0,0,4,1,186,2016,7,23
833.3333333333333,91.2,49.7,0.0,1,4,1,182,1999,5,7
866.1333333333332,167.3,68.4,0.0,0,4,1,221,1988,3,25
393.70000000000005,75.5,31.1,0.0,0,2,1,227,2013,1,20
853.0333333333333,167.0,68.0,7.0,0,2,1,30,2014,4,18
794.0,30.0,25.0,0.0,0,4,1,227,1996,1,1
728.3,29.5,24.2,0.0,0,4,1,254,2000,1,1
548.7,23.900000000000006,19.76666666666667,0.0,0,4,1,6,2019,1,1
190.0,14.000000000000007,20.966666666666665,0.0,0,4,1,186,2017,9,22
572.6,98.4,55.9,2.0,0,4,1,30,2015,7,1
694.4333333333333,59.300000000000004,40.4,0.0,0,4,1,254,2019,6,4
393.7,20.0,11.2,0.0,0,4,1,186,2021,4,16
492.1333333333333,25.266666666666666,16.13333333333334,0.0,0,4,1,186,2023,4,8
655.9,95.73333333333332,44.5,0.0,0,4,4,38,1992,1,1
543.7,30.599999999999994,30.46666666666667,0.0,0,4,1,38,2002,1,1
421.0666666666667,99.69999999999999,24.233333333333334,0.0,0,4,3,256,2019,1,1
566.5333333333333,25.800000000000004,24.200000000000003,0.0,0,4,1,256,2020,5,30
935.0,116.5,47.0,3.0,0,4,1,227,1987,1,1
741.5,78.0,51.0,0.0,0,6,1,11,1993,4,9
671.5,100.0,34.0,0.0,0,6,3,11,1981,4,26
393.70000000000005,48.6,26.0,0.0,0,2,1,227,2005,4,16
638.7333333333333,65.6,38.0,2.0,0,2,2,166,2002,3,30
393.70000000000005,65.6,38.0,2.0,0,2,3,166,2007,1,1
656.2,26.299999999999997,18.6,0.0,0,6,3,151,2003,12,1
568.7,42.33333333333333,20.900000000000002,0.0,0,6,3,256,2006,1,1
769.9,41.46666666666667,13.400000000000002,0.0,0,6,2,256,1996,1,1
654.0,45.66666666666667,20.0,0.0,0,6,3,39,2000,6,14
912.1,45.9,22.366666666666667,0.0,0,6,2,39,2001,1,1
482.3,54.666666666666664,22.4,0.0,0,6,1,39,2001,1,1
563.2,42.33333333333333,19.233333333333334,0.0,0,6,3,256,2003,3,1
596.0333333333333,52.5,28.0,0.0,0,6,3,55,2008,1,1
278.9,42.7,28.5,0.0,0,4,1,227,1992,1,1
686.8000000000001,32.96666666666666,15.566666666666666,0.0,0,6,1,39,2019,12,12
912.1,45.9,33.7,0.0,0,6,1,39,2019,7,1
495.4,32.8,17.93333333333333,0.0,0,4,2,72,2006,1,1
518.7333333333333,32.8,30.0,0.0,0,4,2,72,2007,5,17
495.4,32.8,13.8,0.0,0,4,2,72,2009,1,1
450.0,32.8,24.2,0.0,0,4,3,72,2017,3,1
402.53333333333336,200.0,65.0,1.0,0,4,2,169,1998,1,1
787.4,147.6,64.6,4.0,0,4,1,104,2023,5,13
954.7,117.8,55.0,5.000000000000001,0,4,1,30,2002,4,20
448.33333333333337,90.0,47.53333333333333,1.0,0,5,2,104,1993,1,1
833.3333333333333,100.0,50.0,5.000000000000001,0,2,1,30,1992,5,9
853.0333333333333,105.0,50.0,5.000000000000001,0,2,1,30,1994,3,26
850.8333333333333,105.0,50.0,5.000000000000001,0,2,1,30,1993,5,1
853.0333333333333,105.0,50.0,5.000000000000001,0,2,1,30,1995,4,22
850.8333333333333,105.0,50.0,5.000000000000001,0,2,1,30,1997,5,3
853.0333333333333,105.0,50.0,5.000000000000001,0,2,1,30,1999,5,26
833.3333333333333,109.3,49.7,5.000000000000001,0,2,1,227,2000,4,14
853.0333333333333,105.0,50.0,5.000000000000001,0,2,2,30,2003,4,12
682.1,120.0,38.0,0.0,0,7,1,184,2015,5,23
682.1,120.0,38.0,0.0,0,7,1,184,2019,5,25
954.7,124.69999999999999,62.1,4.0,0,4,1,129,2014,4,27
697.8,111.43333333333334,58.400000000000006,2.0,0,4,1,116,2016,9,24
833.3333333333333,140.1,55.9,5.000000000000001,0,2,1,227,2010,3,18
885.8,42.7,31.1,0.0,0,4,1,218,2020,9,5
630.0,115.0,50.0,5.000000000000001,0,1,1,227,2001,6,16
728.3,29.5,24.200000000000003,0.0,0,4,1,256,2018,12,26
800.0,45.0,28.0,0.0,0,4,3,185,1972,4,29
589.3666666666667,19.999999999999993,36.96666666666667,0.0,0,4,2,203,1988,1,1
